Assemblies                                       final.contigs
Alcanivorax_pacificus_W11_5                      1661         
Aurantimonas_manganoxydans_SI85_9A1              480          
Conexibacter_woesei_Iso977N                      800          
Desulfitibacter_alkalitolerans_DSM_16504         591          
Desulfuromonas_thiophila                         541          
Fluviicola_taffensis_DSM_16823                   2307         
Gaiella_occulta                                  1131         
Gracilibacteria_bacterium_JGI_0000069_P22        -            
Ilumatobacter_coccineus_YM16_304                 9905         
Mollicutes_bacterium_HR1                         96           
Neisseria_sp._CSL_7565                           266          
Nitrospina_gracilis                              3787         
Nitrospina_sp._SCGC_AAA288_L16                   3168         
Nocardioides_albus                               941          
Oceanicola_granulosus_HTCC2516                   2525         
Owenweeksia_hongkongensis_DSM_17368              2752         
Paracoccus_aminophilus                           1530         
Porticoccus_hydrocarbonoclasticus_MCTG13d        1547         
Pseudoruegeria_aquimaris                         3070         
Rhodopirellula_sp._SM50                          458          
Roseobacter_sp._SK209_2_6                        4054         
Shewanella_amazonensis_SB2B                      441          
Simiduia_sp._J_MY2                               1356         
Sinobacterium_caligoides                         1530         
Sphingobium_fuliginis                            409          
Streptomyces_cyaneogriseus_subsp._noncyanogenus  1410         
Sulfitobacter_sp._NAS_14.1                       3296         
Synechococcus_sp._KORDI_49                       5849         
Syntrophus_aciditrophicus                        645          
Tenacibaculum_skagerrakense                      2409         
Thioalkalivibrio_sp._ALJ17                       2160         
Thioalkalivibrio_sulfidiphilus_HL_EbGr7          2160         
Thiohalobacter_thiocyanaticus                    3807         
Ulvibacter_litoralis                             4516         
Xanthomonas_citri_subsp._malvacearum             445          
alpha_proteobacterium_BAL199                     2104         
endosymbiont_of_Ridgeia_piscesae                 6016         
gamma_proteobacterium_SCGC_AB_629_P17            3471         
marine_gamma_proteobacterium_HTCC2080            8319         
marine_metagenome                                219          
mine_drainage_metagenome                         -            
